date,INR,KRW,MYR,IDR,PHP,BRL,PLN
2016-03-11,-12.597000000000008,-19.5,-41.0,,-33.0,-105.0,-11.0
2016-03-18,-6.574000000000012,-12.0,-30.0,,-27.0,-114.0,-6.0896999999999935
2016-03-25,12.0,-5.0,-19.0,,-13.0,-60.0,-6.0
2016-04-01,-17.0,4.0,-8.0,,-6.0,-44.0,-3.852000000000004
2016-04-08,5.576000000000022,7.0,6.0,,2.0,-3.0,1.1447000000000003
2016-04-15,-1.0759999999999934,5.0,2.0,,0.0,-17.5,-0.328400000000002
2016-04-22,-16.988,-1.0,-4.0,,-9.0,-37.0,-1.0
2016-04-29,0.0,-1.0,11.0,,0.0,-21.0,-2.147999999999996
2016-05-06,-5.914000000000016,-2.5,6.0,,7.0,-44.0,-1.1447000000000003
2016-05-13,1.9950000000000045,1.0,10.0,,14.0,-12.5,-2.5819000000000045
2016-05-20,-1.0120000000000005,1.0,7.0,,12.0,-10.0,-0.7896999999999963
2016-05-27,-4.407999999999987,-4.0,-6.0,,4.0,12.0,-1.1153000000000048
2016-06-03,-2.397999999999996,-3.5,-3.0,,-2.0,-2.0,-1.8671999999999969
2016-06-10,-5.919000000000011,-6.0,-3.0,,-4.0,17.0,-0.5
2016-06-17,8.0,-1.0,10.0,,5.0,-8.0,7.289699999999996
2016-06-24,6.407999999999987,3.0,10.0,,10.0,-8.0,20.115300000000005
2016-07-01,16.0,-4.0,-8.0,,0.0,-27.0,10.367199999999997
2016-07-08,17.0,-2.0,-3.0,,1.0,-40.0,12.5
2016-07-15,0.0,-16.0,-49.0,,-22.0,-45.0,-2.5
2016-07-22,-10.0,-14.5,-35.0,,-20.0,-59.0,-16.664
2016-07-29,-18.0,-6.5,-15.0,,-10.0,-22.0,-7.5
2016-08-05,-14.286000000000001,-9.0,-21.0,,-11.0,-40.0,-13.0
2016-08-12,-12.314999999999998,-2.5,1.0,,-4.0,-37.0,-10.0
2016-08-19,-11.0,-5.5,-17.0,,-13.0,-33.5,-10.968900000000005
2016-08-26,-13.443000000000012,-6.047699999999999,-20.64,,-14.9418,-34.764999999999986,-10.999200000000002
2016-09-02,-20.425999999999988,-4.0,-17.0,,-11.25,-11.0,-9.0
2016-09-09,-17.685000000000002,-4.0,-10.5,,-5.5,-1.0,-7.0
2016-09-16,-7.73599999999999,-2.0,4.0,,4.0,20.5,0.18500000000000227
2016-09-23,9.443000000000012,-5.452300000000001,2.6400000000000006,,19.9418,18.764999999999986,1.9992000000000019
