date,CNH,IDR,INR,MYR,PHP,SGD,THB,TWD,KRW
2013-08-23,1.98002,5.00705,10.4603,,-0.338342,0.046814,2.15959,-0.399626,2.2248
2013-08-30,2.45002,5.57725,10.5877,,0.134612,-0.028268,2.15723,-0.500111,2.40437
2013-09-06,1.81063,5.33419,10.3518,,0.310746,-0.009381,2.18661,-0.422389,2.44048
2013-09-13,1.42305,6.09024,10.9851,,-0.681777,-0.018909,2.18735,-0.443622,2.39944
2013-09-20,1.03609,6.24451,10.1308,,-1.65981,-0.033681,2.25453,-0.604888,2.40615
2013-09-27,1.02456,6.80819,11.3966,,-0.552421,-0.033444,2.25117,-0.72841,2.60118
2013-10-04,1.03646,6.42788,10.6888,,-1.17771,-0.009626,2.3236,-0.611266,2.49462
2013-10-11,0.897817,6.91472,9.76268,,-0.485703,-0.028856,2.16752,-0.610406,2.43482
2013-10-18,0.900134,6.49152,9.81969,,-2.06949,-0.009691,2.245,-0.732722,2.40155
2013-10-25,1.0819,6.57799,9.55364,,-2.07091,-0.019417,2.38795,-1.17775,2.45685
2013-11-01,1.0795,6.14961,8.64239,,-0.829966,-0.019318,2.36058,-0.69157,2.63319
2013-11-08,1.10104,6.71904,8.99252,,-0.485142,-0.019302,2.25872,-0.77221,2.62268
2013-11-15,1.08151,6.5393,9.18623,,-0.891143,-0.009609,2.12739,-0.768501,2.45323
2013-11-22,0.981855,7.15018,9.45319,,-1.62911,0.0,2.20796,-0.949528,2.46059
2013-11-29,0.979782,6.93196,9.44393,,-2.10394,-0.009565,1.74288,-1.43002,2.52329
2013-12-06,0.813326,6.66559,9.43219,,-2.42985,0.009569,1.72028,-1.75068,2.40791
2013-12-13,0.703754,6.68427,9.51919,,-1.21641,0.0,1.88822,-2.74122,2.12937
2013-12-20,0.883,6.57722,9.46433,,-1.73918,0.018942,1.9102,-1.51319,2.1698
2013-12-27,0.524901,6.29193,9.71755,,-0.539415,0.009476,1.74822,-1.78697,2.53321
2014-01-03,0.90662,6.13133,8.73579,,0.201799,-0.009472,1.86925,-1.07624,2.47274
2014-01-10,1.06861,6.60562,9.55767,,-0.335055,-0.018899,2.2577,-0.954757,2.40046
2014-01-17,2.05157,6.48803,9.15849,,-0.039979,0.0,2.0203,-1.07179,2.34616
2014-01-24,1.51164,6.38655,8.71837,,0.610841,0.018771,2.07394,-1.10607,2.41443
2014-01-31,1.1492,5.90334,8.13789,,0.597393,0.0,1.91634,-1.14258,2.20824
2014-02-07,0.959217,5.77231,8.30443,,-0.199839,-0.009456,1.99207,-1.06436,2.14308
2014-02-14,0.697973,5.88672,8.56733,,0.403022,-0.009514,1.97094,-0.985699,2.10774
2014-02-21,1.0104,5.76743,8.53063,,0.18863,0.0,1.91612,-1.06384,2.03364
2014-02-28,1.6396,6.65528,9.68327,,0.363548,0.0,2.04106,-1.14256,2.2142
2014-03-07,1.17655,6.7012,11.2013,,0.637131,-0.009497,1.97993,-1.04622,2.22864
2014-03-14,1.34447,6.86483,11.6958,,1.1063,-0.009477,1.85314,-0.886657,1.97515
2014-03-21,0.942126,6.65573,10.4139,,1.41304,0.009416,1.84055,-0.840037,1.96141
2014-03-28,0.853949,6.52542,10.0173,,0.939643,0.019017,1.63499,-1.07662,1.92456
2014-04-04,1.2809,6.3822,8.91246,,1.08645,-0.014233,1.61565,-0.946645,1.89572
2014-04-11,1.18461,6.71601,8.86014,,0.720036,-0.028853,1.74171,-0.973526,1.81189
2014-04-18,1.25075,6.4345,8.61817,,0.84035,-0.028733,1.69129,-0.891488,1.68801
2014-04-25,1.38957,6.51256,8.79446,,0.782186,-0.004772,1.67527,-1.00613,1.68352
2014-05-02,1.40913,6.5399,8.48778,,0.703381,0.009578,1.68024,-0.892121,2.11674
2014-05-09,1.19115,6.64555,8.62314,,0.206381,0.0,1.55798,-0.833397,2.00959
2014-05-16,1.6974,6.603,8.76374,,0.618325,-0.009582,1.5616,-0.773007,1.95073
2014-05-23,2.19601,6.89562,8.85354,,0.564902,0.0,1.55725,-0.61603,1.83061
2014-05-30,2.41704,6.36257,8.49211,,0.481002,0.019141,1.62019,-0.618539,1.83848
2014-06-06,2.36743,6.41988,8.60822,,0.551311,0.0,1.72702,-0.617718,1.83803
2014-06-13,2.83859,6.44482,8.69006,,0.494323,-0.009613,1.62458,-0.618303,1.60325
2014-06-20,3.26553,6.49907,8.72558,,0.632177,0.0,1.71361,-0.379339,1.53911
2014-06-27,2.88467,7.26981,8.98185,,0.673996,0.0,1.90118,-0.34057,1.54997
2014-07-04,3.17772,6.77423,9.04049,,0.872938,-0.009626,1.73642,-0.400948,1.61742
2014-07-11,3.16683,6.83566,10.2892,,0.899104,-0.01933,1.74784,-0.360096,1.72107
2014-07-18,3.29892,6.76589,8.93323,,0.91352,0.009667,1.7679,-0.339731,1.82174
2014-07-25,2.88669,6.85151,8.39488,,0.597473,-0.009666,1.82297,-0.299802,1.88766
2014-08-01,3.15157,6.839,9.03448,,0.922419,0.009607,1.70729,-0.2596,2.16182
2014-08-08,3.3328,6.49335,9.08977,,0.791436,0.009583,1.71117,-0.179837,1.92709
2014-08-15,3.12802,6.45344,9.4908,,0.869425,0.019286,1.76484,-0.199987,1.83694
2014-08-22,2.70327,6.50645,9.00676,,0.906567,0.048091,1.76192,-0.319882,1.72311
2014-08-29,2.95683,6.60373,10.1323,,1.03701,0.038474,1.74282,-0.240613,1.78975
2014-09-05,3.08882,6.24545,8.69072,,1.09108,0.038252,1.67682,-0.380193,1.89073
2014-09-12,2.83229,6.23833,8.74716,,1.02971,0.042757,1.61431,-0.439077,1.69376
2014-09-19,3.85652,6.34129,9.8095,,1.09985,0.047366,1.76568,-0.257789,1.79528
2014-09-26,2.95043,6.36561,8.63164,,0.916271,0.08031,1.75169,-0.336131,1.62065
2014-10-03,3.00237,6.50434,9.17606,,0.794114,0.018847,1.76856,-0.23657,1.82392
2014-10-10,3.00006,6.31789,8.52911,,0.860808,0.018859,1.789,-0.217164,1.69456
2014-10-17,3.14136,6.35859,8.39858,,0.844844,0.018856,1.77393,-0.334846,1.53076
2014-10-24,3.13918,6.33797,8.34073,,1.03614,0.009402,1.83897,-0.452945,1.48537
2014-10-31,3.13279,6.07079,7.86862,,1.23704,0.08425,1.65358,-0.315162,1.46948
2014-11-07,3.58743,5.97347,7.66189,,1.43475,0.194866,1.73948,-0.293726,1.54714
2014-11-14,3.31794,5.95464,8.12004,,1.54623,0.185207,1.78601,-0.293296,1.59246
2014-11-21,3.42097,6.90131,8.40855,,1.97837,0.184878,1.89963,-0.290489,1.73736
2014-11-28,3.76346,6.32162,8.07391,,2.2407,0.387307,1.97315,-0.367744,1.74676
2014-12-05,4.28449,6.16855,8.32743,,1.91647,0.365199,1.82091,-0.134926,1.84677
2014-12-12,4.72475,6.39314,8.18472,,1.61342,0.569332,1.80874,-0.153301,1.75429
2014-12-19,5.63682,6.88554,8.28291,,1.82618,1.17362,1.93424,-0.171482,1.64568
2014-12-26,4.07375,6.69389,8.27828,,1.82741,1.13896,1.9975,-0.169682,1.81006
2015-01-02,4.12301,6.65267,8.23436,,1.89408,0.997913,1.9782,-0.151783,1.86466
2015-01-09,4.12289,6.0919,8.31549,,1.99284,0.629259,2.02494,-0.093949,1.60854
2015-01-16,4.84012,6.37568,8.14084,,2.29219,0.299481,2.05027,-0.113906,1.74048
2015-01-23,4.76616,6.48711,7.77534,,1.89077,0.313837,1.80735,-0.095806,1.44858
2015-01-30,4.55628,5.78439,7.20782,,1.46577,0.713354,1.76944,-0.019038,1.38027
2015-02-06,5.61646,5.65915,7.32357,,2.04405,0.563028,1.84051,-0.09548,1.55259
2015-02-13,4.50119,5.82751,7.30294,,2.05133,0.576463,1.82802,-0.133697,1.37622
2015-02-20,4.09009,5.76653,7.3961,,2.0258,1.01966,1.78357,-0.152101,1.36975
2015-02-27,4.97506,6.74543,9.56774,,1.92192,1.02125,1.9564,-0.057301,1.59692
2015-03-06,4.93776,6.30245,8.72128,,2.15759,1.21561,1.92282,-0.095381,1.42914
2015-03-13,5.03862,6.2663,9.18506,,2.1607,0.869749,1.72119,-0.056859,1.44489
2015-03-20,4.8811,6.98445,9.32296,,2.09422,1.12907,1.69006,-0.09533,1.28978
2015-03-27,4.52744,9.58154,10.0228,,2.24753,0.878311,1.53859,-0.038363,1.25787
2015-04-03,4.55373,7.63824,8.15134,,2.17481,0.842988,1.58106,-0.076831,1.267
2015-04-10,4.17749,9.37943,7.9985,,2.25874,0.777519,1.61453,-0.096221,1.21478
2015-04-17,4.34859,10.1542,8.1085,,2.36952,0.446727,1.58597,-0.077167,1.05699
2015-04-24,3.49316,9.18556,7.95801,,2.35783,0.585287,1.55392,-0.097271,1.17358
2015-05-01,3.31562,8.10922,8.81565,,2.17728,0.773588,1.20791,-0.058758,1.06863
2015-05-08,2.89809,7.87119,8.07073,,2.18693,0.769358,1.19667,-0.058649,1.10823
2015-05-15,2.64194,8.47438,8.10131,,2.24754,0.454132,1.25869,-0.059072,1.22255
2015-05-22,2.69489,6.87069,7.97637,,2.16256,0.56999,1.26514,-0.137943,1.27331
2015-05-29,2.54408,6.78311,7.49451,,2.07853,0.875835,1.28946,-0.097698,1.14287
2015-06-05,2.03958,6.98485,7.31941,,1.88822,0.768156,1.34271,-0.116612,1.24905
2015-06-12,2.39226,9.09206,7.35463,,1.8629,0.530488,1.25194,-0.174476,1.02769
2015-06-19,3.01781,7.68227,7.3593,,1.93265,0.585112,1.2816,-0.21377,0.816007
2015-06-26,3.13759,7.60192,7.61243,,1.90579,0.635276,1.32263,-0.174578,0.863226
2015-07-03,3.49699,7.93932,7.48305,,2.19413,0.741076,1.30453,-0.213349,1.07386
2015-07-10,2.55665,8.56894,7.58665,,2.16185,0.516699,1.40574,-0.251343,1.17473
2015-07-17,2.58926,8.40028,7.52348,,2.42617,0.732062,1.38755,-0.327487,1.15641
2015-07-24,2.67502,7.85136,7.5189,,2.17148,1.36474,1.45414,-0.267239,1.18803
2015-07-31,3.28845,7.43673,7.30246,,2.19963,1.25443,1.42195,-0.265739,1.18573
2015-08-07,2.83494,6.86057,7.36168,,2.17263,1.24095,1.51371,-0.265043,1.24045
2015-08-14,3.78788,7.04981,7.72687,,2.09737,1.22508,1.52478,-0.261287,1.44018
2015-08-21,5.43833,8.50099,7.98382,,2.11047,1.37342,2.03671,-0.256873,1.46663
2015-08-28,6.11569,8.62576,7.01943,,1.81205,1.59945,1.64406,-0.352376,1.18223
2015-09-04,4.36269,9.35025,6.895,,1.90385,1.73846,1.56883,-0.294338,1.41752
2015-09-11,4.6845,9.84378,6.82166,,2.01453,1.84413,1.33856,-0.276326,1.37615
2015-09-18,3.95491,9.74614,7.20026,,2.06156,1.4604,1.28954,-0.240754,1.29759
2015-09-25,4.78476,14.2088,6.76729,,2.32924,1.71517,1.41659,-0.10899,1.2628
2015-10-02,4.60253,16.6983,7.03478,,2.37257,1.40608,1.36955,-0.091161,1.32917
2015-10-09,4.06467,16.0947,6.97015,,2.15236,0.818329,1.40987,-0.073553,1.19741
2015-10-16,2.81944,12.4802,6.9588,,2.37117,0.548148,1.41952,-0.092927,1.01429
2015-10-23,2.80517,13.5532,7.00907,,2.12639,1.0478,1.40689,-0.037094,1.01833
2015-10-30,3.95792,11.043,6.67836,,2.00451,1.23147,1.3418,-0.055433,1.21721
2015-11-06,3.15088,10.0841,6.69815,,2.10398,1.14776,1.27238,-0.092279,1.16211
2015-11-13,3.7099,10.0032,6.70404,,2.57912,1.18785,1.22544,-0.110028,1.19224
2015-11-20,3.71037,9.6168,7.49254,,2.30251,1.13153,1.2487,-0.147377,1.25472
2015-11-27,4.8468,9.77554,7.23931,,2.52342,1.24127,1.39079,-0.18379,1.36141
2015-12-04,4.36617,8.56033,6.37623,,2.42085,1.14411,1.34829,-0.220032,1.09481
2015-12-11,4.73494,9.88557,6.56648,,2.28449,1.2265,1.12924,-0.583585,1.12488
2015-12-18,5.81805,9.90967,6.54247,,2.26559,1.17025,1.01709,-0.944117,0.763371
2015-12-25,6.67169,10.5979,6.48266,,2.12956,1.2755,0.951758,-0.511142,0.825128
2016-01-01,5.52286,9.53318,6.24719,,2.17634,1.2947,0.988191,-0.182512,1.02822
2016-01-08,5.52286,7.66955,6.24719,,2.00289,1.50761,1.02948,-0.182512,1.20865
2016-01-15,5.52286,7.68553,6.24719,,2.08075,1.17284,1.04441,-0.182512,1.244
2016-01-22,,7.29445,,,2.34656,0.906346,1.00334,,1.10538
2016-01-29,,6.87162,,,1.99493,0.663246,1.02063,,0.904554
2016-02-05,,6.8092,,,1.85309,0.834912,1.05323,,1.10793
2016-02-12,,6.45475,,,1.73149,0.516239,1.0256,,0.845153
2016-02-19,,5.88866,,,1.64884,0.732567,0.961106,,1.02549
2016-02-26,,5.94518,,,1.84625,0.684172,0.98026,,1.02245
2016-03-04,,5.52536,,,2.02451,0.656561,0.918843,,1.10233
2016-03-11,,6.08537,,,2.03974,0.530052,1.13227,,1.1119
2016-03-18,,5.24494,,,1.99801,0.380451,1.0379,,1.03716
2016-03-25,,6.48922,,,1.37817,0.394542,0.939528,,1.08809
2016-04-01,,6.33165,,,1.99985,0.355937,1.06454,,1.04465
2016-04-08,,5.52213,,,1.96812,0.334054,0.926727,,0.992483
2016-04-15,,5.46034,,,2.03767,0.442918,0.92048,,0.946365
2016-04-22,,5.35538,,,2.1035,0.800203,1.00634,,0.737292
2016-04-29,,5.59821,,,2.07982,0.941468,0.914201,,0.527866
2016-05-06,,5.47982,,,2.2007,0.822801,0.873513,,0.782418
2016-05-13,,5.73082,,,2.13423,0.649106,0.764842,,0.92584
2016-05-20,,6.58425,,,2.1117,1.04711,0.463295,,0.860409
2016-05-27,,5.66351,,,2.02575,0.684823,0.64151,,0.765937
2016-06-03,,6.73274,,,2.05932,0.443049,0.760426,,0.763015
2016-06-10,,6.50438,,,2.02186,0.446434,0.725808,,0.671384
2016-06-17,,6.0075,,,1.84973,0.289443,0.785795,,0.667135
2016-06-24,,6.98814,,,1.45431,0.311024,0.664058,,0.510095
