date,US,KRW,THB,IDR_GT,PHP,CNH,IDR_BV,MYR,SGD,TWD
1997-12-05,0.1277400000000002,,,,,,,,,
1997-12-12,0.12439,,,,,,,,,
1997-12-19,0.07179999999999964,,,,,,,,,
1997-12-26,0.06847999999999921,,,,,,,,,
1998-01-02,0.06756999999999991,,,,,,,,,
1998-01-09,0.2287100000000004,,,,,,,,,
1998-01-16,0.1981199999999994,,,,,,,,,
1998-01-23,0.2981600000000002,,,,,,,,,
1998-01-30,0.20985999999999994,,,,,,,,,
1998-02-06,0.24540999999999968,,,,,,,,,
1998-02-13,0.14284999999999926,,,,,,,,,
1998-02-20,0.14438999999999957,,,,,,,,,
1998-02-27,0.08605000000000018,,,,,,,,,
1998-03-06,0.1490999999999998,,,,,,,,,
1998-03-13,0.09177999999999997,,,,,,,,,
1998-03-20,0.06112000000000073,,,,,,,,,
1998-03-27,0.05106000000000055,,,,,,,,,
1998-04-03,0.06472999999999995,,,,,,,,,
1998-04-10,0.10066000000000042,,,,,,,,,
1998-04-17,0.07770999999999972,,,,,,,,,
1998-04-24,0.07749000000000006,,,,,,,,,
1998-05-01,0.09023000000000003,,,,,,,,,
1998-05-08,0.11520999999999937,,,,,,,,,
1998-05-15,0.06622000000000039,,,,,,,,,
1998-05-22,0.0221600000000004,,,,,,,,,
1998-05-29,0.03341999999999956,,,,,,,,,
1998-06-05,0.005539999999999878,,,,,,,,,
1998-06-12,-0.0002300000000001745,,,,,,,,,
1998-06-19,-0.0363800000000003,,,,,,,,,
1998-06-26,-0.044329999999999536,,,,,,,,,
1998-07-03,-0.017269999999999897,,,,,,,,,
1998-07-10,0.0046200000000000685,,,,,,,,,
1998-07-17,0.054560000000000386,,,,,,,,,
1998-07-24,-0.0055499999999995,,,,,,,,,
1998-07-31,0.014809999999999768,,,,,,,,,
1998-08-07,0.07122000000000028,,,,,,,,,
1998-08-14,0.06444000000000027,,,,,,,,,
1998-08-21,0.08008999999999933,,,,,,,,,
1998-08-28,0.16897999999999946,,,,,,,,,
1998-09-04,0.1110300000000004,,,,,,,,,
1998-09-11,0.14937999999999985,,,,,,,,,
1998-09-18,0.08298999999999968,,,,,,,,,
1998-09-25,0.1554500000000001,,,,,,,,,
1998-10-02,0.13771999999999984,,,,,,,,,
1998-10-09,0.5843299999999996,,,,,,,,,
1998-10-16,0.5813500000000005,,,,,,,,,
1998-10-23,0.5358099999999997,,,,,,,,,
1998-10-30,0.5015400000000003,,,,,,,,,
1998-11-06,0.35331000000000046,,,,,,,,,
1998-11-13,0.2855699999999999,,,,,,,,,
1998-11-20,0.16672000000000065,,,,,,,,,
1998-11-27,0.18864999999999998,,,,,,,,,
1998-12-04,0.1694300000000002,,,,,,,,,
1998-12-11,0.16331000000000007,,,,,,,,,
1998-12-18,0.12295999999999996,,,,,,,,,
1998-12-25,0.08058000000000032,,,,,,,,,
