date,carry_vol,ca_yoy,esi_chg,rr_sent,vrp_pos,vrp_neg,rrterm_pos,rrterm_neg,mom,pi_pos,pi_flow,boll,value_slow
2016-07-15,0.22684518496089376,0.17716717219339412,0.12500000000000003,0.15381815560683468,0.05272810952880693,0.0,0.04683826750697212,0.0,0.0,0.08313458735465035,0.07599080563165962,0.0,0.05847771721678853
2016-07-22,0.22750756927906074,0.17996585276292493,0.12500000000000003,0.15656960688428218,0.04764388352870629,0.0,0.044783207176732495,0.0,0.0,0.08504739040184556,0.07810796915324106,0.0,0.05537452081320687
2016-07-29,0.223754851331668,0.18664739212870163,0.125,0.1523054888474658,0.05191543584716895,0.0,0.047504549187193705,0.0,0.0,0.08301235494053529,0.0758790766880458,0.0,0.053980851029220844
2016-08-05,0.22602365744397923,0.17960830889319948,0.1267431413898623,0.15389818229564795,0.0479579561466328,0.0,0.04867783969136424,0.0,0.0,0.0863279137301755,0.07718309657984129,0.0,0.0535799038292974
2016-08-12,0.2285322895876511,0.18203345467513798,0.1260412476950913,0.15220862057896492,0.04880110280765629,0.0,0.05173126194692943,0.0,0.0,0.08125278281915604,0.07341227062115824,0.0,0.0559869692682547
2016-08-19,0.2270083618205792,0.1775631126856207,0.12529991978333127,0.1564158642550422,0.04598848737226774,0.0,0.04598848737226774,0.0,0.0,0.08249815452859613,0.07772758669912203,0.0,0.06151002548317313
2016-08-26,0.22935392767507326,0.17984520184308536,0.13181174819560362,0.15619256300680187,0.04093593533674103,0.0,0.04599698032791087,0.0,0.0,0.0794723432759748,0.07462589412004288,0.0,0.06176540621876652
2016-09-02,0.2307583075956722,0.18447622986957649,0.1296094026363523,0.15812210732391935,0.04423117324783445,0.0,0.05069152235435741,0.0,0.0,0.07459497822509702,0.06978331768413656,0.0,0.05773296106305438
2016-09-09,0.23330572403666827,0.1892855973455525,0.12975268808265805,0.15397081196164702,0.047826510744470814,0.0,0.056708073535632675,0.0,0.0,0.07099275630486286,0.06603152303561738,0.0,0.05212631495289044
2016-09-16,0.23625051880038053,0.1894700211433261,0.12500000000000003,0.15702771146830832,0.04906078779395661,0.0,0.05921844385833917,0.0,0.0,0.07031947678763756,0.06545599861807333,0.0,0.048197041529978495
2016-09-23,0.23366122806473738,0.19293014040196158,0.12884194545123442,0.1591169259544874,0.04579294611299646,0.0,0.062092130322707065,0.0,0.0,0.07080881265637412,0.06605852909572718,0.0,0.0406973419397743
2016-09-30,0.23102028246892728,0.19407626689035498,0.1347801481826448,0.1617179595391929,0.04382257791968758,0.0,0.06213311710941702,0.0,0.0,0.06844023571644554,0.06321617812958023,0.008628689012055608,0.03216454503169404
2016-10-07,0.2346617871667455,0.1885798322484616,0.1378817808992445,0.16356481628185376,0.04949309345918494,0.0,0.06541173998338992,0.0,0.0,0.06096793619786582,0.05652186512939156,0.012122147917394618,0.03079500071646797
2016-10-14,0.2398270298277682,0.18386462573038886,0.1398533762632113,0.16351752841200687,0.05473211449208182,0.0,0.06665645989727313,0.0,0.0,0.05625593236587858,0.051815313034253754,0.010732988943834343,0.03274463103330313
2016-10-21,0.24084997405707675,0.182723912307211,0.14541217298538592,0.16147186099153363,0.04977372717165192,0.0,0.06406549967215112,0.0,0.0,0.057764275831767804,0.05340970943967934,0.010469903207937318,0.0340589643356052
2016-10-28,0.23902741090283364,0.18470823073590914,0.1477763889164607,0.16495858518480072,0.04347983981794408,0.0,0.05955513270838114,0.0,0.0,0.05910517157493804,0.05672397728440731,0.01031006549704832,0.034355197377276936
2016-11-04,0.23426008527832193,0.18851611746731303,0.14864004516893975,0.16728226213882444,0.04259134300241233,0.0,0.05557273927310405,0.0,0.0,0.06225830680558729,0.05985467822992411,0.004398340300407248,0.0366260823351659
2016-11-11,0.23076082947178667,0.18836674308946086,0.1529091863507699,0.16278668391028758,0.043112123131214874,0.0,0.053164637615661925,0.0,0.0,0.06654719122167539,0.06422054328563663,0.0007941509812742421,0.03733791094223189
2016-11-18,0.23462346418610033,0.18796578675995398,0.15307849750427965,0.15970624712014295,0.0405642141913121,0.0,0.05416411764297115,0.0,0.0,0.0691859705702325,0.06689674234904122,0.0007866227219370254,0.033028336954029146
2016-11-25,0.2306258519067753,0.19079579233344246,0.14722624439562074,0.1614834979287617,0.04493954208424045,0.0,0.052469305784525425,0.0,0.0,0.06897218140951424,0.06727598317300142,0.0008037835839686843,0.03540781740014956
2016-12-02,0.2266048681409963,0.1900044638942543,0.1427890437538275,0.16264357537755306,0.04607835909239667,0.0,0.05546689926969614,0.0,0.0,0.07067647751128862,0.06898454390741601,0.0008070723737677285,0.035944696678803616
2016-12-09,0.22903167109173564,0.19372058363174552,0.14184663161905492,0.1576488596564615,0.04522861740939912,0.0,0.056287102131748964,0.0,0.0,0.0736736380707569,0.072012905806003,0.0007974007348677216,0.029752589848226974
2016-12-16,0.2315785405170182,0.1927724234699859,0.14604350774817226,0.15382074709419505,0.04378424609057508,0.0,0.05539988052550824,0.0,0.0,0.07331255134827677,0.0716599586078643,0.0007986787673410527,0.030829465831063173
2016-12-23,0.23668243699116612,0.18967854356817138,0.1458136753803348,0.15186784065692951,0.0408652145974049,0.0,0.055188798523781224,0.0,0.0,0.0728131768350274,0.07112972627245458,0.0008188750572231553,0.035141712117507114
