date,BASE (top3/5),+stress gate,"+eligibility (CNH,SGD)",+elig +stress,top4/6 +elig +stress
2017-12-22,-0.006756731231375296,-0.006756731231375305,-0.005852926040026438,-0.005852926040026424,-0.007439471197294311
2017-12-29,-3.419204961250256e-05,-3.4192049612502604e-05,-0.0032279550431233684,-0.003227955043123361,-3.740074542016124e-05
2018-01-05,0.013233087968761385,0.013233087968761397,0.008064826092683707,0.00806482609268369,0.009407852624025959
2018-01-12,-0.0006441363632248817,-0.0006441363632248826,-0.0006226013616110468,-0.0006226013616110451,-0.014211562104920025
2018-01-19,0.006250062525712634,0.006250062525712641,0.006872857438496111,0.006872857438496092,0.008316286201306484
2018-01-26,0.0055036343035438275,0.005503634303543834,0.0029768822437379536,0.0029768822437379458,-0.00239764184408002
2018-02-02,0.0015906040641107259,0.001590604064110728,-0.0006184789984097865,-0.000618478998409785,0.0012416617716289055
2018-02-09,-0.012118117897099294,-0.012118117897099311,-0.011744364068390906,-0.011744364068390875,-0.014227770630717724
2018-02-16,0.013141717848334828,0.006570858924167423,0.023482980768294033,0.011741490384146985,0.0112860911420332
2018-02-23,-0.005652555194442677,-0.005805634129467522,-0.005972728951192307,-0.006427218094667495,-0.008779853814603247
2018-03-02,-0.0009039812639883517,-0.0009284524619168187,0.00048803611090494084,0.0005248994665058951,0.004015135026223471
2018-03-09,0.0036644692444338005,0.001883100381109864,0.0014589431233253292,0.0007849833031062577,0.002015453875449027
2018-03-16,-0.009543063078136042,-0.009848794548893897,-0.008056431847585198,-0.008685303168509866,-0.004770616576081814
2018-03-23,0.015715058860949645,0.016208795565077632,0.01192519911746625,0.012837816739075107,0.013732148543150847
2018-03-30,0.012507443822655527,0.006426226325386405,0.011774126607423673,0.006306496130858803,0.006756319833582485
2018-04-06,-0.005655859687107491,-0.0059752775053499955,-0.004958213526994924,-0.005489234393884531,-0.000587703107415551
2018-04-13,-0.00837283857044407,-0.0044221237820745215,-0.0045307753940544045,-0.0025080155656790116,-0.0027155193627005423
2018-04-20,0.017724893936144834,0.01893619925705849,0.015461375083996101,0.017204818165880913,0.0169272844948377
2018-04-27,0.007293424584663995,0.007721206522224733,0.0038353238447581483,0.004217987237195633,0.0015992991337917173
2018-05-04,-0.0154955458021233,-0.016378301197889217,-0.012935199214540977,-0.014211505866439685,-0.01531526940261336
2018-05-11,0.018593269354150697,0.019568939975666156,0.00664903989074135,0.007268759458122517,0.0139896055382691
2018-05-18,0.0017287477842519174,0.0018070501154265493,0.0016898037332830037,0.001843292874352153,-0.000471596086745375
2018-05-25,0.00816860553311139,0.008546066436364904,0.010880210869658588,0.011879134479130487,0.007189988706539586
2018-06-01,-0.002396419304645689,-0.002503501170851781,-0.003585908082826601,-0.0038965118173993124,-0.0050196345906090905
2018-06-08,0.02452029048649025,0.025655058797945947,0.018467586672924342,0.02014727847256822,0.013140352422272069
2018-06-15,0.01756623565344076,0.018206223080440405,0.02107378453258508,0.022756277454351548,0.023045093960524732
